"filename", "language", "TypeScript", "HTTP", "comment", "blank", "total"
"c:\Serious Project\chc\chc-backend\identity-service\src\common\EnvVars.ts", "TypeScript", 25, 0, 5, 2, 32
"c:\Serious Project\chc\chc-backend\identity-service\src\common\HttpStatusCodes.ts", "TypeScript", 64, 0, 259, 64, 387
"c:\Serious Project\chc\chc-backend\identity-service\src\configs\passport.config.ts", "TypeScript", 35, 0, 0, 5, 40
"c:\Serious Project\chc\chc-backend\identity-service\src\controllers\auth.controller.ts", "TypeScript", 21, 0, 0, 6, 27
"c:\Serious Project\chc\chc-backend\identity-service\src\controllers\user.controller.ts", "TypeScript", 76, 0, 0, 12, 88
"c:\Serious Project\chc\chc-backend\identity-service\src\error\AlreadyExistError.ts", "TypeScript", 12, 0, 3, 5, 20
"c:\Serious Project\chc\chc-backend\identity-service\src\error\ApiError.ts", "TypeScript", 8, 0, 3, 3, 14
"c:\Serious Project\chc\chc-backend\identity-service\src\error\ApiErrorCodes.ts", "TypeScript", 70, 0, 5, 19, 94
"c:\Serious Project\chc\chc-backend\identity-service\src\error\IsNotNumberError.ts", "TypeScript", 12, 0, 3, 3, 18
"c:\Serious Project\chc\chc-backend\identity-service\src\error\LengthError.ts", "TypeScript", 32, 0, 3, 4, 39
"c:\Serious Project\chc\chc-backend\identity-service\src\error\NotEmptyError.ts", "TypeScript", 12, 0, 15, 7, 34
"c:\Serious Project\chc\chc-backend\identity-service\src\error\NotFoundError.ts", "TypeScript", 12, 0, 3, 4, 19
"c:\Serious Project\chc\chc-backend\identity-service\src\error\NotInEnumError.ts", "TypeScript", 13, 0, 0, 4, 17
"c:\Serious Project\chc\chc-backend\identity-service\src\error\NotNullError.ts", "TypeScript", 12, 0, 3, 4, 19
"c:\Serious Project\chc\chc-backend\identity-service\src\error\RouteError.ts", "TypeScript", 9, 0, 4, 5, 18
"c:\Serious Project\chc\chc-backend\identity-service\src\helpers\camelCaseifyWithDateConversion.ts", "TypeScript", 39, 0, 12, 7, 58
"c:\Serious Project\chc\chc-backend\identity-service\src\helpers\removeNullValue.ts", "TypeScript", 16, 0, 9, 6, 31
"c:\Serious Project\chc\chc-backend\identity-service\src\helpers\sanitation.ts", "TypeScript", 0, 0, 1, 1, 2
"c:\Serious Project\chc\chc-backend\identity-service\src\helpers\Validator.ts", "TypeScript", 59, 0, 43, 18, 120
"c:\Serious Project\chc\chc-backend\identity-service\src\index.ts", "TypeScript", 6, 0, 2, 3, 11
"c:\Serious Project\chc\chc-backend\identity-service\src\middlewares\auth.middleware.ts", "TypeScript", 48, 0, 1, 9, 58
"c:\Serious Project\chc\chc-backend\identity-service\src\middlewares\user.middleware.ts", "TypeScript", 56, 0, 1, 5, 62
"c:\Serious Project\chc\chc-backend\identity-service\src\middlewares\util.middleware.ts", "TypeScript", 10, 0, 0, 2, 12
"c:\Serious Project\chc\chc-backend\identity-service\src\models\Comment.ts", "TypeScript", 29, 0, 0, 5, 34
"c:\Serious Project\chc\chc-backend\identity-service\src\models\Group.ts", "TypeScript", 51, 0, 0, 5, 56
"c:\Serious Project\chc\chc-backend\identity-service\src\models\Notification.ts", "TypeScript", 44, 0, 0, 5, 49
"c:\Serious Project\chc\chc-backend\identity-service\src\models\Post.ts", "TypeScript", 50, 0, 0, 5, 55
"c:\Serious Project\chc\chc-backend\identity-service\src\models\Reaction.ts", "TypeScript", 34, 0, 0, 5, 39
