"filename", "language", "TypeScript", "HTTP", "comment", "blank", "total"
"c:\Serious Project\chc\chc-backend\identity-service\src\models\friendRequest.schema.ts", "TypeScript", 36, 0, 4, 6, 46
"c:\Serious Project\chc\chc-backend\identity-service\src\models\user.schema.ts", "TypeScript", 65, 0, 6, 8, 79
"c:\Serious Project\chc\chc-backend\identity-service\src\pre-start.ts", "TypeScript", 0, 0, 8, 3, 11
"c:\Serious Project\chc\chc-backend\identity-service\src\repositories\friendRequest.repository.ts", "TypeScript", 25, 0, 0, 6, 31
"c:\Serious Project\chc\chc-backend\identity-service\src\repositories\user.repository.ts", "TypeScript", 71, 0, 8, 18, 97
"c:\Serious Project\chc\chc-backend\identity-service\src\routes\auth.routes.ts", "TypeScript", 28, 0, 0, 7, 35
"c:\Serious Project\chc\chc-backend\identity-service\src\routes\index.routes.ts", "TypeScript", 7, 0, 0, 5, 12
"c:\Serious Project\chc\chc-backend\identity-service\src\routes\types\express\index.d.ts", "TypeScript", 6, 0, 1, 5, 12
"c:\Serious Project\chc\chc-backend\identity-service\src\routes\types\express\misc.ts", "TypeScript", 7, 0, 1, 5, 13
"c:\Serious Project\chc\chc-backend\identity-service\src\routes\types\types.ts", "TypeScript", 9, 0, 1, 5, 15
"c:\Serious Project\chc\chc-backend\identity-service\src\routes\users.routes.ts", "TypeScript", 42, 0, 1, 9, 52
"c:\Serious Project\chc\chc-backend\identity-service\src\server.ts", "TypeScript", 50, 0, 12, 21, 83
"c:\Serious Project\chc\chc-backend\identity-service\src\services\auth.service.ts", "TypeScript", 55, 0, 0, 10, 65
"c:\Serious Project\chc\chc-backend\identity-service\src\services\database.service.ts", "TypeScript", 29, 0, 1, 6, 36
"c:\Serious Project\chc\chc-backend\identity-service\src\services\friendRequest.service.ts", "TypeScript", 72, 0, 6, 13, 91
"c:\Serious Project\chc\chc-backend\identity-service\src\services\user.service.ts", "TypeScript", 81, 0, 0, 12, 93
"c:\Serious Project\chc\chc-backend\identity-service\src\tests\ApiTest.http", "HTTP", 0, 6, 1, 1, 8
"c:\Serious Project\chc\chc-backend\identity-service\src\types\api.types.ts", "TypeScript", 11, 0, 0, 4, 15
"c:\Serious Project\chc\chc-backend\identity-service\src\types\auth.types.ts", "TypeScript", 11, 0, 0, 2, 13
"c:\Serious Project\chc\chc-backend\identity-service\src\types\user.types.ts", "TypeScript", 24, 0, 0, 6, 30
"c:\Serious Project\chc\chc-backend\identity-service\src\util\handlers.ts", "TypeScript", 10, 0, 0, 2, 12
"c:\Serious Project\chc\chc-backend\identity-service\src\util\misc.ts", "TypeScript", 10, 0, 9, 4, 23
"c:\Serious Project\chc\chc-backend\identity-service\src\Validators\util.Validator.ts", "TypeScript", 0, 0, 0, 1, 1
"Total", "-", 1504, 6, 434, 382, 2326
